accession	version	length	taxid	organism	species	genus	family	collection_date	country	isolate	strain	host	genotype	submitter	seq_tech
OZ250252	OZ250252.1	30725		Betacoronavirus 1	Betacoronavirus 1	Betacoronavirus				RNA				Sladecek,T.	
PX990530	PX990530.1	7405		Coxsackievirus A21	Coxsackievirus A21	Coxsackievirus		2022-05-31			22A600/Hangzhou/ZJ/China/2022	Homo sapiens		Qiu,X.	
PX990531	PX990531.1	7405		Coxsackievirus A21	Coxsackievirus A21	Coxsackievirus		2022-06-09			22A641/Hangzhou/ZJ/China/2022	Homo sapiens		Qiu,X.	
PX990532	PX990532.1	7405		Coxsackievirus A21	Coxsackievirus A21	Coxsackievirus		2024-05-02			24A500/Hangzhou/ZJ/China/2024	Homo sapiens		Qiu,X.	
PV806334	PV806334.1	7433		Coxsackievirus A4	Coxsackievirus A4	Coxsackievirus		20-May-2022		194R3/YN/CHN/2022		Homo sapiens		Chen,J., Chu,Z., Liu,J., Feng,C. and Ma,S.	
PX965181	PX965181.1	7402		Coxsackievirus A5	Coxsackievirus A5	Coxsackievirus		15-Apr-2024			68/Hangzhou/CHN/2024	Homo sapiens		Qiu,X.	
PV806333	PV806333.1	7385		Coxsackievirus A5	Coxsackievirus A5	Coxsackievirus		21-Jul-2022		276/YN/CHN/2022		Homo sapiens		Li,X., Yang,H., Chu,Z., Liu,J., Feng,C. and Ma,S.	
PX965180	PX965180.1	7402		Coxsackievirus A5	Coxsackievirus A5	Coxsackievirus		23-Apr-2024			67/Hangzhou/CHN/2024	Homo sapiens		Qiu,X.	
PX965179	PX965179.1	7402		Coxsackievirus A5	Coxsackievirus A5	Coxsackievirus		23-Apr-2024			66/Hangzhou/CHN/2024	Homo sapiens		Qiu,X.	
PX965183	PX965183.1	7402		Coxsackievirus A5	Coxsackievirus A5	Coxsackievirus		14-May-2024			181/Hangzhou/CHN/2024	Homo sapiens		Qiu,X.	
PV235457	PV235457.1	7240		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2017		PDHFMD2017-1		Homo sapiens		Zhang,X. and Gu,Y.	
PV235424	PV235424.1	7235		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2022		PDHFMD2022-32		Homo sapiens		Zhang,X. and Gu,Y.	
PV235453	PV235453.1	7235		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2019		PDHFMD2019-10		Homo sapiens		Zhang,X. and Gu,Y.	
PV235433	PV235433.1	7235		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2023		PDHFMD2023-9		Homo sapiens		Zhang,X. and Gu,Y.	
PV235429	PV235429.1	7235		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2023		PDHFMD2023-15		Homo sapiens		Zhang,X. and Gu,Y.	
PV235416	PV235416.1	7240		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2016		PDHFMD2016-7		Homo sapiens		Zhang,X. and Gu,Y.	
PV235435	PV235435.1	7236		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2023		PDHFMD2023-6		Homo sapiens		Zhang,X. and Gu,Y.	
PV235434	PV235434.1	7239		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2023		PDHFMD2023-7		Homo sapiens		Zhang,X. and Gu,Y.	
PV235425	PV235425.1	7239		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2016		PDHFMD2016-15		Homo sapiens		Zhang,X. and Gu,Y.	
PV235440	PV235440.1	7241		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2022		PDHFMD2022-71		Homo sapiens		Zhang,X. and Gu,Y.	
PV235418	PV235418.1	7235		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2015		PDHFMD2015-16		Homo sapiens		Zhang,X. and Gu,Y.	
PV235419	PV235419.1	7253		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2015		PDHFMD2015-12		Homo sapiens		Zhang,X. and Gu,Y.	
PV235436	PV235436.1	7239		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2023		PDHFMD2023-5		Homo sapiens		Zhang,X. and Gu,Y.	
PV235420	PV235420.1	7246		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2015		PDHFMD2015-11		Homo sapiens		Zhang,X. and Gu,Y.	
PV235448	PV235448.1	7241		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2021		PDHFMD2021-62		Homo sapiens		Zhang,X. and Gu,Y.	
PV235449	PV235449.1	7235		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2021		PDHFMD2021-5		Homo sapiens		Zhang,X. and Gu,Y.	
PV235430	PV235430.1	7235		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2023		PDHFMD2023-13		Homo sapiens		Zhang,X. and Gu,Y.	
PV235439	PV235439.1	7235		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2023		PDHFMD2023-1		Homo sapiens		Zhang,X. and Gu,Y.	
PV235450	PV235450.1	7239		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2021		PDHFMD2021-4		Homo sapiens		Zhang,X. and Gu,Y.	
PV235444	PV235444.1	7239		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2021		PDHFMD2021-YJ8		Homo sapiens		Zhang,X. and Gu,Y.	
PV235423	PV235423.1	7235		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2022		PDHFMD2022-26		Homo sapiens		Zhang,X. and Gu,Y.	
PV235437	PV235437.1	7235		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2023		PDHFMD2023-3		Homo sapiens		Zhang,X. and Gu,Y.	
PV235452	PV235452.1	7239		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2020		PDHFMD2020-5		Homo sapiens		Zhang,X. and Gu,Y.	
PV235421	PV235421.1	7240		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2022		PDHFMD2022-21		Homo sapiens		Zhang,X. and Gu,Y.	
PV235458	PV235458.1	7239		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2016		PDHFMD2016-8		Homo sapiens		Zhang,X. and Gu,Y.	
PV235438	PV235438.1	7235		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2023		PDHFMD2023-2		Homo sapiens		Zhang,X. and Gu,Y.	
PV235442	PV235442.1	7240		Coxsackievirus A6	Coxsackievirus A6	Coxsackievirus		2022		PDHFMD2022-31		Homo sapiens		Zhang,X. and Gu,Y.	
PP554887	PP554887.1	7418		Coxsackievirus B5	Coxsackievirus B5	Coxsackievirus		22-Jul-2022		240/YN/CHN/2022		Homo sapiens		Chu,Z. and Ma,S.	
PP554888	PP554888.1	7408		Coxsackievirus B5	Coxsackievirus B5	Coxsackievirus		02-Jul-2022		489/YN/CHN/2022		Homo sapiens		Chu,Z. and Ma,S.	
PP554889	PP554889.1	7404		Coxsackievirus B5	Coxsackievirus B5	Coxsackievirus		21-Jul-2022		269/YN/CHN/2022		Homo sapiens		Chu,Z. and Ma,S.	
PP554890	PP554890.1	7398		Coxsackievirus B5	Coxsackievirus B5	Coxsackievirus		24-May-2022		180/YN/CHN/2022		Homo sapiens		Chu,Z. and Ma,S.	
OZ457450	OZ457450.1	9524		dengue virus type 3	dengue virus	dengue		2024-06-01		DENV3|INIS_03|Camama|Angola|2024-06-01				de Vasconcelos,J.N., Claro,I.M., Eliodoro,R.Hd.A., Moreira,F.R.R., Pereira,A., Samuel,L., Rocha,E.C., Manuel,E., Mapenzi-Kashali,N., Kankolongo,F.C., Candido,D.S., de Jesus,J.G., Mariano,G., Sousa,S., Clemente,C., Muenga,C., Dorigatti,I., de Souza,W.M., Whittaker,C., Cox,V.M., Hinsley,W., Loman,N., Quick,J., Mbala,P., Faria,N.R. and Morais,J.	
OZ457447	OZ457447.1	8674		dengue virus type 3	dengue virus	dengue		2024-04-12		DENV3|INIS_05|Luanda|Angola|2024-04-12				de Vasconcelos,J.N., Claro,I.M., Eliodoro,R.Hd.A., Moreira,F.R.R., Pereira,A., Samuel,L., Rocha,E.C., Manuel,E., Mapenzi-Kashali,N., Kankolongo,F.C., Candido,D.S., de Jesus,J.G., Mariano,G., Sousa,S., Clemente,C., Muenga,C., Dorigatti,I., de Souza,W.M., Whittaker,C., Cox,V.M., Hinsley,W., Loman,N., Quick,J., Mbala,P., Faria,N.R. and Morais,J.	
OZ457449	OZ457449.1	10034		dengue virus type 3	dengue virus	dengue		2024-06-02		DENV3|INIS_01|Zango|Angola|2024-06-02				de Vasconcelos,J.N., Claro,I.M., Eliodoro,R.Hd.A., Moreira,F.R.R., Pereira,A., Samuel,L., Rocha,E.C., Manuel,E., Mapenzi-Kashali,N., Kankolongo,F.C., Candido,D.S., de Jesus,J.G., Mariano,G., Sousa,S., Clemente,C., Muenga,C., Dorigatti,I., de Souza,W.M., Whittaker,C., Cox,V.M., Hinsley,W., Loman,N., Quick,J., Mbala,P., Faria,N.R. and Morais,J.	
OZ457446	OZ457446.1	5805		dengue virus type 3	dengue virus	dengue		2024-07-31		DENV3|INIS_06|Luanda|Angola|2024-07-31				de Vasconcelos,J.N., Claro,I.M., Eliodoro,R.Hd.A., Moreira,F.R.R., Pereira,A., Samuel,L., Rocha,E.C., Manuel,E., Mapenzi-Kashali,N., Kankolongo,F.C., Candido,D.S., de Jesus,J.G., Mariano,G., Sousa,S., Clemente,C., Muenga,C., Dorigatti,I., de Souza,W.M., Whittaker,C., Cox,V.M., Hinsley,W., Loman,N., Quick,J., Mbala,P., Faria,N.R. and Morais,J.	
OZ457448	OZ457448.1	4639		dengue virus type 3	dengue virus	dengue		2024-07-24		DENV3|INIS_04|Viana|Angola|2024-07-24				de Vasconcelos,J.N., Claro,I.M., Eliodoro,R.Hd.A., Moreira,F.R.R., Pereira,A., Samuel,L., Rocha,E.C., Manuel,E., Mapenzi-Kashali,N., Kankolongo,F.C., Candido,D.S., de Jesus,J.G., Mariano,G., Sousa,S., Clemente,C., Muenga,C., Dorigatti,I., de Souza,W.M., Whittaker,C., Cox,V.M., Hinsley,W., Loman,N., Quick,J., Mbala,P., Faria,N.R. and Morais,J.	
